,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격)
1444,쉐보레 말리부 2.0  LTZ,차량번호 33도1142,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177234&gubun=K,2013.07,"126,950 km",가솔린,"1,998 cc (141마력)",흰색,만료,680만원,23,1,0,0,1,0,1,0,1,0,0,등록,1,0,0,0,0,6,"3,709,209",2,"977,380"
1445,현대 뉴 에쿠스 3.8 VS380 럭셔리,차량번호 64루1416,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177962&gubun=K,2011.07 (12년형),"111,157 km",가솔린,"3,778 cc (334마력)",검정색,만료,990만원,14,1,0,0,1,1,1,0,1,0,1,등록,3,0,0,0,0,2,"2,033,746",4,"2,715,286"
1446,기아 더 뉴 K5 2.0  프레스티지,차량번호 26러5076,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177965&gubun=K,2013.07 (14년형),"155,054 km",가솔린,"1,999 cc (172마력)",흰색,만료,950만원,35,1,1,0,1,0,1,0,1,0,0,등록,7,0,0,0,0,1,"91,470",1,"396,079"
1447,르노삼성 SM7 노바 2.5 RE,차량번호 58저9795,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181810&gubun=K,2015.01,"120,439 km",가솔린,"2,495 cc (190마력)",흰색,"132개월 / 220,000km",750만원,21,,,,,,,,,,,등록,4,0,0,0,0,4,"12,159,799",1,"3,100,000"
1448,현대 제네시스 DH G330 모던,차량번호 63조2249,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178310&gubun=K,2014.04 (15년형),"166,181 km",가솔린,"3,342 cc (282마력)",은색,만료,"1,499만원",32,1,1,0,1,1,1,0,1,0,1,등록,5,0,0,0,0,3,"1,370,016",5,"3,627,210"
1449,기아 더 프레스티지 K7 2.4 프레스티지,차량번호 64모2808,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178313&gubun=K,2012.09,"124,605 km",가솔린,"2,359 cc (201마력)",흰색,만료,730만원,23,1,1,0,1,1,1,0,1,0,0,등록,2,0,0,0,0,0,0,1,"516,132"
1450,기아 K5 2.0  프레스티지,차량번호 30주2349,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182802&gubun=K,2012.07 (13년형),"98,290 km",가솔린,"1,999 cc (172마력)",검정색,만료,750만원,28,1,1,0,1,1,1,0,1,0,0,등록,0,0,0,0,0,3,"4,853,067",2,"2,319,490"
1451,GM대우 마티즈 크리에이티브 1.0  그루브 스타,차량번호 58오9765,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182803&gubun=K,2010.12 (11년형),"99,507 km",가솔린,995 cc (70마력),흰색,만료,380만원,37,,,,,,,,,,,등록,3,0,0,0,0,1,"527,610",0,0
1452,기아 스팅어  2.2 디젤 플래티넘   ,차량번호 08고4546,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2147378&gubun=K,2017.06 (18년형),"130,114 km",디젤,"2,199 cc (202마력)",진회색 (레드),"60개월 / 100,000km","2,550만원",63,0,1,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
1453,현대 제네시스 DH  G380 AWD 파이니스트 에디션   ,차량번호 395모3011,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163709&gubun=K,2014.02,"145,581 km",가솔린,"3,778 cc (315마력)",검정색,불가,"2,650만원",37,1,1,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
1454,제네시스 EQ900  3.3 터보 AWD 프리미엄 럭셔리   ,차량번호 02저5000,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2169792&gubun=K,2016.03,"132,702 km",가솔린,"3,342 cc (370마력)",검정색,불가,"3,590만원",39,1,0,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
1455,현대 그랜저HG  240 모던   ,차량번호 11주5951,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2171786&gubun=K,2015.05,"217,883 km",가솔린,"2,359 cc (190마력)",검정색,불가,890만원,29,1,1,1,1,1,1,0,1,0,1,미등록,,,,,,,,,
1456,현대 벨로스터 N  2.0 터보 퍼포먼스팩   ,차량번호 251머9695,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178864&gubun=K,2021.05 (22년형),"30,305 km",가솔린,"1,998 cc ()",회색,정보없음,"2,990만원",94,1,0,1,0,1,1,0,1,0,1,미등록,,,,,,,,,
1457,제네시스 G80  3.3 터보 AWD 스포츠   ,차량번호 50수8314,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181095&gubun=K,2017.04,"77,545 km",가솔린,"3,342 cc (370마력)",흰색,불가,"3,350만원",50,1,1,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
1458,기아 봉고3 킹캡 초장축 디럭스,차량번호 81루4467,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180780&gubun=K,2017.05,"262,000 km",디젤,"2,497 cc (133마력)",흰색,불가,800만원,준비중,0,0,1,0,0,0,0,0,0,0,등록,,,,,,,,,
1459,기아 쏘렌토 2.5 디젤 4WD 리미티드,차량번호 01나2304,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182940&gubun=K,2004.02,"190,100 km",디젤,"2,497 cc (145마력)",은색,만료,250만원,8,,,,,,,,,,,등록,,,,,,,,,
1460,기아 K5 하이브리드 2.0 HEV 노블레스,차량번호 30구7787,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2176186&gubun=K,2012.05 (13년형),"67,878 km",가솔린 하이브리드,"1,999 cc (191마력)",검정색,만료,"1,090만원",32,0,1,0,0,0,0,0,0,0,0,등록,0,0,0,0,0,2,"5,328,406",2,"2,025,525"
1461,기아 카니발 4세대  3.5 가솔린 7인승 하이리무진 시그니처   ,차량번호 임785458,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2170046&gubun=K,2022.00,6 km,가솔린,"3,470 cc (294마력)",검정색,"60개월 / 100,000km",0원,운용,0,0,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
1462,현대 더 뉴 제네시스 쿠페 2.0 터보  S,차량번호 357부4252,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179481&gubun=K,2012.08,"160,893 km",가솔린,"1,998 cc (275마력)",흰색,만료,760만원,25,1,0,0,0,1,1,0,0,0,1,등록,9,0,0,0,0,5,"5,363,811",4,"4,916,420"
1463,르노삼성 QM6 2.0 디젤 2WD RE 시그니처,차량번호 21러5706,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179461&gubun=K,2016.10 (17년형),"122,746 km",디젤,"1,995 cc (177마력)",진회색,만료,"1,250만원",37,0,0,1,1,1,1,1,1,0,1,등록,2,0,0,0,0,2,"9,798,234",0,0
1464,현대 e마이티 3.5톤 냉동탑차,차량번호 85수4998,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177185&gubun=K,2011.06,"979,746 km",디젤,"3,933 cc ()",흰색,만료,890만원,준비중,,,,,,,,,,,등록,,,,,,,,,
1465,쌍용 렉스턴 스포츠 2.2 디젤 2WD 노블레스,차량번호 87조2429,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179973&gubun=K,2019.12 (20년형),"37,284 km",디젤,"2,157 cc (187마력)",진회색,"60개월 / 100,000km","2,200만원",67,,,,,,,,,,,등록,,,,,,,,,
1466,제네시스 EQ900 3.8 AWD 프리미엄 럭셔리,차량번호 115가9801,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179564&gubun=K,2016.07,"90,387 km",가솔린,"3,778 cc (315마력)",파란색,만료,"3,190만원",36,0,0,1,1,1,1,1,1,1,1,등록,2,0,0,0,0,1,"414,668",0,0
1467,기아 스포티지 더 볼드 1.6 디젤 2WD 노블레스   ,차량번호 51어1560,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181496&gubun=K,2019.04,"89,600 km",디젤,"1,598 cc (136마력)",흰색,"60개월 / 100,000km",290만원,운용,0,0,1,1,1,1,0,1,0,1,등록,,,,,,,,,
1468,현대 더 뉴 그랜저 2.5  프리미엄 초이스   ,차량번호 163호4684,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180723&gubun=K,2020.09,"30,500 km",가솔린,"2,497 cc (198마력)",진회색,정보없음,150만원,소유,0,0,1,1,0,1,1,1,1,1,등록,,,,,,,,,
1469,기아 더 뉴 쏘렌토 2.2 디젤 2WD 노블레스 스페셜,차량번호 160나9413,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2164182&gubun=K,2020.12 (21년형),"49,200 km",디젤,"2,151 cc (202마력)",진회색,"60개월 / 100,000km",450만원,운용,0,0,1,1,1,1,1,1,1,1,등록,,,,,,,,,
1470,현대 더 뉴 싼타페  2.2 디젤 2WD 프레스티지 5인승,차량번호 133서6079,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2164787&gubun=K,2021.08,"19,800 km",디젤,"2,151 cc (202마력)",흰색,"60개월 / 100,000km",350만원,운용,0,1,1,0,0,1,0,1,0,1,등록,,,,,,,,,
1471,제네시스 더 올 뉴 G80 2.5 터보,차량번호 152허1060,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2166234&gubun=K,2022.05,"4,300 km",가솔린,"2,497 cc (304마력)",검정색,"60개월 / 100,000km",366만원,소유,0,0,1,1,1,1,1,1,1,1,등록,,,,,,,,,
1472,기아 봉고3 EV 킹캡 초장축 GLS,차량번호 95어3067,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2175835&gubun=K,2020.06,58 km,전기,180 cc (135마력),흰색,정보없음,"2,150만원",50,0,0,1,0,0,1,0,1,0,1,등록,,,,,,,,,
1473,르노삼성 올 뉴 SM7 2.5 LE S/S 컬렉션,차량번호 27어2224,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180472&gubun=K,2014.01,"86,300 km",가솔린,"2,495 cc (190마력)",검정색,불가,"1,130만원",35,,,,,,,,,,,등록,,,,,,,,,
1474,현대 포터2 슈퍼캡 내장탑차,차량번호 89모1967,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2168532&gubun=K,2011.11 (12년형),"181,310 km",디젤,"2,497 cc ()",흰색,만료,880만원,준비중,0,0,1,0,0,1,0,0,0,0,등록,4,0,0,0,0,3,"4,784,632",4,"7,574,092"
1475,GM대우 노부스 7톤 4X2 단축 슈퍼디럭스,차량번호 93저9365,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=1909585&gubun=K,2006.10 (07년형),"285,000 km",디젤,"5,880 cc ()",흰색,만료,"1,990만원",준비중,,,,,,,,,,,등록,2,0,0,0,0,1,"730,000",2,"849,660"
1476,현대 포터2 윙바디 ,차량번호 93모0516,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2166731&gubun=K,2017.02,"512,310 km",디젤,"2,497 cc (133마력)",흰색,만료,990만원,준비중,0,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
1477,현대 e마이티 3.5톤 냉동탑차,차량번호 95소5811,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2166625&gubun=K,2009.12 (10년형),"368,550 km",디젤,"3,933 cc ()",흰색,만료,"1,990만원",준비중,0,0,0,0,0,1,0,0,0,0,등록,,,,,,,,,
1478,현대 e마이티 3.5톤 내장탑차,차량번호 80어3436,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2166618&gubun=K,2006.09 (07년형),"299,690 km",디젤,"3,907 cc ()",흰색,만료,"1,290만원",준비중,0,0,0,0,0,1,0,0,0,0,등록,3,0,0,0,0,4,"7,899,460",1,"297,230"
1479,기아 봉고3 윙바디 탑차,차량번호 84루4344,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2166608&gubun=K,2013.10,"353,980 km",디젤,"2,497 cc (126마력)",흰색,만료,690만원,준비중,0,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
1480,현대 포터2  캠핑카 -   ,차량번호 99노8776,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2143991&gubun=K,2019.11,"2,786 km",디젤,"2,497 cc (133마력)",흰색,만료,"4,880만원",준비중,0,0,0,0,0,1,0,1,0,0,미등록,,,,,,,,,
1481,현대 포터2 윙바디 ,차량번호 817오3055,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2171187&gubun=K,2019.02,"423,020 km",디젤,"2,497 cc (133마력)",흰색,만료,"1,150만원",준비중,0,0,1,0,0,1,0,1,0,0,등록,1,0,0,0,0,1,"1,678,539",2,"2,056,150"
1482,현대 e-카운티 장축 15인승 자가용 리무진,차량번호 71마1205,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2171384&gubun=K,2009.05,"39,710 km",디젤,"3,933 cc (170마력)",분홍색,만료,"3,500만원",준비중,0,0,0,0,0,1,0,1,0,0,등록,4,0,0,0,0,0,0,2,"803,920"
1483,현대 뉴 카운티 장축 25인승 자가용 스페셜,차량번호 74가4249,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2172560&gubun=K,2020.05,"42,790 km",디젤,"3,933 cc ()",흰색,정보없음,"6,990만원",준비중,0,0,1,0,0,1,0,1,0,0,등록,1,0,0,0,0,0,0,0,0
1484,현대 포터2 시티밴,차량번호 81누6372,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2173656&gubun=K,2014.06,"104,600 km",디젤,"2,497 cc ()",흰색,정보없음,"1,450만원",준비중,0,0,1,0,0,1,0,1,0,0,등록,6,0,0,0,0,1,"1,796,390",0,0
1485,기아 봉고3  윙바디 탑차,차량번호 844두1674,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174736&gubun=K,2018.09 (19년형),"81,760 km",디젤,"2,497 cc (126마력)",흰색,만료,"1,780만원",준비중,0,0,1,0,0,1,0,1,0,0,등록,3,1,0,0,0,1,"14,350,000",0,0
1486,기아 봉고3 CRDi 킹캡 초장축 GLX,차량번호 800모6269,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174734&gubun=K,2015.03,"444,970 km",디젤,"2,497 cc ()",흰색,정보없음,680만원,준비중,0,0,1,0,0,1,0,1,0,0,등록,2,0,0,0,0,1,"406,310",0,0
1487,기아 봉고3 익스내장탑차,차량번호 82거7941,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2174821&gubun=K,2014.11,"201,590 km",디젤,"2,497 cc ()",기타색상,정보없음,680만원,준비중,0,0,1,0,0,1,0,1,0,0,등록,5,0,0,0,0,1,"1,329,750",2,"1,450,285"
1488,기아 봉고3 냉동 탑차,차량번호 97오0807,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2175094&gubun=K,2018.05 (19년형),"202,700 km",디젤,"2,497 cc ()",흰색,만료,"1,450만원",준비중,0,0,1,0,0,1,0,0,0,0,등록,1,0,0,0,0,0,0,0,0
1489,현대 포터2 CRDi 더블캡 초장축 골드 고급형,차량번호 97너7499,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177600&gubun=K,2008.03,"213,620 km",디젤,"2,497 cc ()",흰색,정보없음,680만원,준비중,0,0,1,0,0,1,0,0,0,0,등록,4,0,0,0,0,0,0,3,"3,592,230"
1490,현대 포터2 냉동탑차,차량번호 83오2971,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177605&gubun=K,2010.05,"721,130 km",디젤,"2,497 cc ()",흰색,만료,680만원,준비중,0,0,1,0,0,1,0,0,0,0,등록,6,0,0,0,0,1,"1,801,370",0,0
1491,현대 포터2 슈퍼캡 냉동탑차,차량번호 85우2740,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177609&gubun=K,2014.01,"627,160 km",디젤,"2,497 cc ()",흰색,만료,780만원,준비중,0,0,1,0,0,1,0,0,0,0,등록,2,0,0,0,0,6,"5,236,005",7,"6,290,938"
1492,현대 뉴 에쿠스 3.8 VS380 모던,차량번호 53마0761,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182804&gubun=K,2013.02,"150,000 km",가솔린,"3,778 cc (334마력)",검정색,만료,"1,290만원",18,1,0,0,1,1,1,0,1,0,1,등록,,,,,,,,,
1493,기아 그랜드 카니발 2.9 디젤 GLX 최고급형,차량번호 76모9993,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181646&gubun=K,2013.01,"170,000 km",디젤,"2,199 cc (170마력)",흰색,만료,850만원,33,,,,,,,,,,,등록,,,,,,,,,
1494,현대 포터2 슈퍼캡 냉동탑차,차량번호 89머6522,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182386&gubun=K,2013.01,"220,000 km",디젤,"2,497 cc ()",흰색,만료,590만원,준비중,,,,,,,,,,,등록,,,,,,,,,
1495,현대 더 뉴 그랜저 하이브리드  2.4 HEV 익스클루시브,차량번호 313머5679,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181627&gubun=K,2020.05,"28,811 km",가솔린 하이브리드,"2,359 cc (159마력)",진회색,정보없음,"3,780만원",준비중,0,0,1,1,1,1,0,1,1,1,등록,1,0,0,0,0,2,"1,709,878",1,"572,240"
1496,르노삼성 SM7 뉴 아트  3.5 RE35   ,차량번호 28노7862,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2167309&gubun=K,2009.06,"95,000 km",가솔린,"3,498 cc (217마력)",진주색,불가,500만원,13,1,0,1,1,0,1,0,1,0,0,등록,,,,,,,,,
1497,르노삼성 뉴 QM3  1.5 디젤 LE,차량번호 161가1064,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182810&gubun=K,2017.12,"257,620 km",디젤,"1,461 cc (90마력)",베이지색,"60개월 / 100,000km",650만원,27,0,0,1,0,0,1,0,1,0,1,등록,,,,,,,,,
1498,르노삼성 뉴 SM3  1.6 RE,차량번호 56라6996,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182660&gubun=K,2013.06 (14년형),"122,080 km",가솔린,"1,598 cc (112마력)",회색,만료,450만원,23,1,0,1,0,0,1,0,1,0,0,등록,3,0,0,0,0,1,"5,245,162",2,"5,891,110"
1499,현대 제네시스 BH330  럭셔리 VIP팩,차량번호 47모3370,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182100&gubun=K,2008.07,"240,210 km",가솔린,"3,342 cc (262마력)",검정색,만료,530만원,10,0,0,1,1,1,1,0,1,0,0,등록,9,0,0,0,0,2,"2,313,970",3,"1,262,190"
1500,르노삼성 SM6 2.0 LPe   SE,차량번호 209저9333,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181333&gubun=K,2018.07 (19년형),"239,510 km",LPG,"1,998 cc (140마력)",흰색,"60개월 / 100,000km",820만원,35,0,0,0,1,0,1,0,1,0,1,등록,1,0,0,0,0,1,"3,167,200",0,0
1501,르노삼성 SM3 네오  1.5 디젤 LE,차량번호 325구4696,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2181111&gubun=K,2017.08,"25,510 km",디젤,"1,461 cc (110마력)",회색,만료,950만원,45,0,0,0,1,0,1,0,1,0,0,등록,2,0,0,0,0,1,"932,270",1,"1,593,827"
1502,르노삼성 올 뉴 SM7 3.5  LE35,차량번호 63구9166,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180934&gubun=K,2011.12 (12년형),"188,100 km",가솔린,"3,498 cc (258마력)",회색,만료,450만원,12,0,0,1,1,0,1,0,1,0,0,등록,3,0,0,0,0,5,"4,796,334",0,0
1503,쌍용 티볼리 에어  1.6 디젤 2WD AX,차량번호 172부7704,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180342&gubun=K,2019.06,"125,140 km",디젤,"1,597 cc (115마력)",흰색,"60개월 / 100,000km",970만원,45,0,0,1,0,0,1,0,1,0,0,등록,1,0,0,0,0,0,0,0,0
1504,쌍용 티볼리 아머 1.6 가솔린 2WD VX,차량번호 275라6184,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2147792&gubun=K,2018.06,"102,440 km",가솔린,"1,597 cc (126마력)",진청색,"60개월 / 100,000km","1,170만원",58,0,0,1,0,0,1,0,1,0,0,등록,1,0,0,0,0,0,0,0,0
1505,르노삼성 SM3 네오  1.5 디젤 LE,차량번호 233무1333,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2165530&gubun=K,2018.04,"119,860 km",디젤,"1,461 cc (110마력)",진회색,"60개월 / 100,000km",740만원,35,0,0,1,0,0,1,0,1,0,0,등록,1,0,0,0,0,0,0,3,"5,580,835"
1506,현대 그랜저HG 300 프리미엄,차량번호 07다5824,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2170153&gubun=K,2015.12 (16년형),"194,500 km",가솔린,"2,999 cc (270마력)",검정색,만료,820만원,24,0,0,0,1,1,1,0,1,0,0,등록,5,0,0,0,0,2,"1,052,347",0,0
1507,기아 더 뉴 K7  3.0 LPi 럭셔리,차량번호 10라4362,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2170156&gubun=K,2014.03,"198,520 km",LPG,"2,999 cc (235마력)",은색,정보없음,720만원,준비중,0,0,1,1,1,1,0,1,0,1,등록,6,0,0,0,0,3,"3,013,044",1,"483,520"
1508,쌍용 렉스턴W  2.0 디젤 2WD RX7 브라운 스페셜,차량번호 48우7840,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2170846&gubun=K,2013.05,"235,080 km",디젤,"1,998 cc (155마력)",검정색,만료,620만원,18,1,0,1,1,0,1,0,1,0,1,등록,5,0,0,0,0,2,"1,654,533",3,"1,665,640"
1509,르노삼성 뉴SM5 플래티넘  2.0 PE,차량번호 63러7146,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2172765&gubun=K,2013.01,"52,740 km",가솔린,"1,998 cc (141마력)",검정색,"132개월 / 220,000km",620만원,27,0,0,1,0,0,1,0,1,0,0,등록,2,0,0,0,0,3,"1,911,560",0,0
1510,기아 더 뉴 K3  1.6 디럭스,차량번호 100서1016,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178316&gubun=K,2017.06,"108,040 km",가솔린,"1,591 cc (132마력)",진주색,만료,860만원,55,0,0,1,0,0,1,0,1,0,0,등록,2,0,0,0,0,1,"277,838",0,0
1511,현대 뉴 에쿠스  3.8 VS380 프라임,차량번호 55우6808,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182913&gubun=K,2012.11,"210,870 km",가솔린,"3,778 cc (334마력)",검정색,만료,770만원,10,0,0,1,1,1,1,0,1,0,1,등록,5,0,0,0,0,2,"1,616,040",0,0
1512,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 프레스티지,차량번호 347로2677,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182672&gubun=K,2020.06 (21년형),"25,880 km",가솔린 하이브리드,"1,598 cc (230마력)",검정색,"60개월 / 100,000km","3,799만원",107,,,,,,,,,,,등록,1,0,0,0,0,0,0,0,0
1513,기아 더 뉴 쏘렌토 2.0 디젤 2WD  프레스티지,차량번호 272루4141,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182670&gubun=K,2017.09 (18년형),"142,397 km",디젤,"1,995 cc (186마력)",흰색,만료,"1,690만원",56,1,0,0,1,0,1,0,1,0,0,등록,2,0,0,0,0,0,0,0,0
1514,기아 더 뉴 쏘렌토 2.0 디젤 2WD  프레스티지,차량번호 149고9618,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182671&gubun=K,2017.09 (18년형),"147,449 km",디젤,"1,995 cc (186마력)",검정색,만료,"1,590만원",53,1,0,0,1,0,1,0,1,0,0,등록,2,0,0,0,0,1,"2,662,650",1,"1,518,056"
1515,쉐보레 트레일블레이저 1.3 터보 2WD  RS,차량번호 257무2124,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182925&gubun=K,2021.01,"33,297 km",가솔린,"1,341 cc (156마력)",검정색,"60개월 / 100,000km","2,190만원",85,,,,,,,,,,,등록,3,0,0,0,0,1,"399,544",2,"637,709"
1516,기아 올 뉴 쏘렌토 2.0 디젤 2WD  프레스티지,차량번호 11로1959,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182669&gubun=K,2015.06,"119,618 km",디젤,"1,995 cc (186마력)",흰색,만료,"1,499만원",50,1,1,0,1,0,1,0,1,0,0,등록,1,0,0,0,0,3,"3,296,582",1,"2,436,278"
1517,기아 더 뉴 모닝 1.0  스마트,차량번호 06더8296,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182667&gubun=K,2015.03 (16년형),"114,616 km",가솔린,998 cc (),회색,만료,299만원,31,,,,,,,,,,,등록,7,0,0,0,0,1,"560,428",1,"620,728"
1518,제네시스 EQ900 3.8 AWD 럭셔리,차량번호 50도0840,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182341&gubun=K,2016.02,"80,296 km",가솔린,"3,778 cc (315마력)",검정색,만료,"3,120만원",42,1,0,0,1,1,1,0,1,1,1,등록,1,0,0,0,0,2,"520,658",0,0
1519,기아 디 올 뉴 니로 1.6 HEV  시그니처,차량번호 142더1661,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182342&gubun=K,2022.06,426 km,가솔린 하이브리드,"1,580 cc (141마력)",흰색,"60개월 / 100,000km","3,999만원",115,1,0,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,0,0,0,0
1520,기아 더 뉴 레이 1.0 시그니처,차량번호 335더9633,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182346&gubun=K,2022.09 (23년형),25 km,가솔린,998 cc (76마력),흰색,"60개월 / 100,000km",100만원,6,,,,,,,,,,,등록,1,0,0,0,0,0,0,0,0
